subgenero,titulo,popularidade,ano
slasher,Black Phone 2,89.54,2025
slasher,Spithood,65.4076,2024
slasher,Five Nights at Freddy's 2,34.2982,2025
slasher,The Strangers: Chapter 2,32.9466,2025
slasher,Bone Lake,19.5634,2025
slasher,Psycho III,19.4137,1986
slasher,Dangerous Animals,18.2929,2025
slasher,The Black Phone,18.1604,2022
slasher,X,14.9752,2022
slasher,Wrong Turn,14.0104,2003
found_footage,Shelby Oaks,57.001,2025
found_footage,Desconocido,20.545,2022
found_footage,Presence,13.7313,2025
found_footage,Sacred,13.2326,2009
gore,Creepshow 2,31.306,1987
gore,Final Destination Bloodlines,25.0799,2025
gore,Psycho III,19.4137,1986
gore,Wrong Turn,14.0104,2003
gore,A Serbian Film,13.5489,2010
gore,Terrifier 3,13.1375,2024
gore,The Monkey,12.4194,2025
gore,Silent Hill,11.7795,2006
paranormal,The Conjuring: Last Rites,62.7725,2025
paranormal,Holy Night: Demon Hunters,44.1256,2025
paranormal,Tenung,20.1624,2025
paranormal,Good Boy,19.4962,2025
paranormal,The Conjuring,14.1377,2013
paranormal,Presence,13.7313,2025
paranormal,Annabelle,13.381,2014
paranormal,The Devilâ€™s Trap,12.6681,2024
paranormal,Smile 2,12.6632,2024
paranormal,Silent Hill,11.7795,2006
psicologico,Black Phone 2,89.54,2025
psicologico,The Ugly Stepsister,34.3754,2025
psicologico,The Long Walk,30.6446,2025
psicologico,Weapons,25.5263,2025
psicologico,Dangerous Animals,18.2929,2025
psicologico,Together,16.0784,2025
psicologico,The Hand That Rocks the Cradle,14.2531,2025
psicologico,Presence,13.7313,2025
psicologico,Smile 2,12.6632,2024
psicologico,The Shining,11.7966,1980
